Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\170320.S82,
13,17/3/2020,12:55:34,22.0,101.8,44.1,6.66820e-008,1.82767e-005,,0.000,2.000,2.000,6.000,1.000,9.000,9.000,12.000,11.000,13.000,14.000,6.000,9.897,24.103,23.000,17.000,22.000,17.544,14.456,18.000,16.000,20.000,24.249,24.259,26.492,16.000,20.757,29.243,14.000,22.000,19.803,23.197,30.000,20.000,17.000,21.000,29.000,18.000,23.000,20.000,21.000,10.000,23.000,32.000,18.000,14.000,23.000,17.000,15.000,21.000,17.000,14.000,13.000,19.000,21.000,18.000,15.802,24.198,19.000,17.000,19.092,16.908,19.000,24.000,28.000,17.000,20.000,17.000,18.000,14.000,11.000,14.000,12.000,8.000,12.000,9.287,14.429,12.284,8.000,10.000,7.000,7.000,8.000,3.000,2.000,1.000,3.000,2.000,1.000,1.000,2.000,1.000,1.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,300,4,50,1,3.000,0.300,0.00,10.23,9624.65, 13.3,749.9,1.000,1.83,7.52,811.8,ON,42.336,68.921,49.039,21.674,2.198,2.402739e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
14,17/3/2020,13:01:34,22.0,101.8,44.1,6.66820e-008,1.82767e-005,,0.000,1.000,4.000,4.000,4.000,4.000,9.000,9.179,9.821,13.000,7.855,10.145,6.897,18.103,16.000,13.000,23.000,18.000,14.000,19.000,33.000,29.000,27.249,30.751,32.000,22.000,32.000,23.963,23.037,26.000,23.000,28.000,27.000,28.000,26.000,21.000,21.000,18.163,28.351,19.486,22.000,22.000,21.000,27.000,9.000,20.976,20.024,20.000,14.589,20.411,14.000,18.000,21.000,23.000,29.000,21.000,20.000,16.000,23.508,24.691,29.801,18.000,16.418,19.582,25.000,16.000,28.000,22.695,24.305,19.000,12.000,14.026,12.974,15.000,7.000,11.000,10.716,12.284,3.000,5.000,1.000,4.000,4.000,6.000,5.000,3.000,1.000,2.000,1.000,3.000,0.000,1.000,2.000,1.000,1.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.23,9624.65, 13.3,749.9,1.000,1.83,7.52,811.8,ON,42.356,67.149,49.560,27.881,2.116,2.542315e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
15,17/3/2020,13:07:34,22.1,101.7,44.0,6.67763e-008,1.82815e-005,,0.000,2.000,0.000,4.000,2.000,1.000,5.000,5.000,16.000,4.000,9.000,18.000,18.000,14.000,16.000,20.000,14.000,23.000,16.000,15.000,12.000,31.000,29.000,30.000,26.000,16.000,20.246,20.754,21.000,22.000,24.000,27.208,17.792,18.000,16.000,28.000,20.766,18.234,30.000,19.000,10.000,18.000,16.000,10.000,22.309,11.691,19.735,21.265,23.000,18.000,21.000,16.000,14.000,17.018,20.982,20.000,20.000,22.000,19.000,26.000,12.000,21.000,17.000,31.000,15.000,17.000,16.000,20.154,21.846,12.000,17.000,8.000,17.000,18.000,14.000,13.000,14.000,10.000,5.000,3.000,8.000,2.000,2.000,7.000,4.000,1.000,2.000,1.000,0.000,1.000,3.000,0.000,0.000,0.000,0.000,2.000,1.000,1.000,3.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9624.94, 13.3,749.9,1.000,1.83,7.52,811.8,ON,42.818,70.727,50.911,28.903,2.169,2.310344e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
16,17/3/2020,13:13:34,22.1,101.7,44.0,6.67763e-008,1.82815e-005,,1.000,0.000,3.000,4.000,5.000,7.000,8.000,8.000,10.000,16.000,16.000,25.000,15.000,21.000,28.000,25.896,21.104,29.000,32.000,14.000,24.000,23.000,25.000,22.000,16.000,29.776,16.224,27.000,19.000,25.000,25.000,28.000,20.000,21.000,16.000,31.000,21.766,19.234,26.000,29.000,19.000,21.246,18.755,19.000,19.000,18.000,14.735,20.876,19.389,13.000,13.000,19.000,15.000,23.000,19.000,18.000,20.000,23.000,16.000,23.126,24.874,25.000,20.000,23.000,34.000,13.000,20.000,14.000,24.000,25.000,23.000,14.000,17.000,6.000,18.000,10.000,9.000,12.815,14.185,8.000,5.000,6.000,6.000,4.000,2.000,3.000,5.000,7.000,2.000,2.000,2.000,3.000,0.000,1.000,0.000,3.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9624.94, 13.3,749.9,1.000,1.83,7.52,811.8,ON,40.460,69.080,48.499,25.946,2.228,2.690665e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
17,17/3/2020,13:19:34,22.1,101.7,44.0,6.67763e-008,1.82815e-005,,2.000,0.000,6.000,4.000,9.000,9.588,17.274,17.138,15.000,18.000,21.000,14.000,32.000,19.886,23.114,26.000,32.000,33.000,25.528,23.472,30.000,26.317,30.683,35.000,23.000,27.000,23.000,24.000,26.000,25.000,29.000,23.000,21.000,25.000,36.000,11.000,27.000,25.526,18.474,21.000,22.000,20.000,22.768,17.232,24.000,23.295,23.440,16.265,16.905,20.095,19.000,13.117,15.883,21.000,20.000,25.000,29.000,24.000,23.000,30.000,31.000,22.000,19.000,21.227,25.773,31.000,26.000,22.000,22.000,27.000,26.000,18.000,15.000,17.000,10.000,13.000,11.323,16.677,11.000,6.939,10.061,3.000,11.000,10.000,1.000,4.000,4.000,0.000,3.000,3.000,2.000,1.000,0.000,0.000,2.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9624.94, 13.3,749.9,1.000,1.83,7.52,811.8,ON,37.842,66.092,46.358,20.908,2.234,3.092947e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
18,17/3/2020,13:25:34,22.1,101.7,44.0,6.67763e-008,1.82815e-005,,0.000,2.000,3.000,3.000,4.000,4.000,8.862,12.138,15.000,14.000,15.000,21.000,30.000,23.000,27.000,24.000,16.000,17.178,25.350,21.472,28.000,19.000,19.000,20.000,18.000,23.000,34.246,29.192,17.562,23.946,26.054,24.000,21.000,26.128,33.872,25.000,22.000,20.000,22.869,26.911,24.708,27.511,17.000,15.000,18.309,24.691,15.000,20.000,18.905,22.095,20.352,21.648,14.000,24.000,23.000,25.000,15.000,20.000,23.000,23.000,21.465,22.535,26.813,25.187,22.781,24.219,21.000,18.154,31.846,24.000,22.000,19.000,26.000,14.000,15.000,7.000,10.000,9.000,11.000,5.000,7.000,7.000,5.000,10.000,1.000,2.000,3.000,3.000,1.000,0.000,3.000,1.000,3.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9624.94, 13.3,749.9,1.000,1.83,7.52,811.8,ON,41.853,68.782,48.992,20.908,2.207,2.786803e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
19,17/3/2020,13:31:34,22.2,101.7,44.0,6.68051e-008,1.82863e-005,,1.000,2.000,2.000,3.000,11.000,10.000,12.816,16.184,11.000,17.000,23.000,9.000,12.000,24.000,15.000,15.000,10.000,20.000,17.000,18.000,28.000,19.000,20.000,11.000,18.000,15.000,17.000,27.000,19.000,18.000,20.000,28.000,31.000,32.000,22.000,24.000,18.000,22.000,25.000,30.000,31.000,25.000,34.000,26.000,16.000,27.000,22.000,26.402,22.598,25.000,17.000,34.000,25.000,25.812,26.425,29.763,23.000,24.000,17.000,23.000,25.000,28.366,38.635,31.000,24.000,25.000,22.000,25.989,21.011,21.000,27.000,23.000,24.000,12.000,13.000,15.000,14.000,11.000,11.000,10.000,7.000,4.000,3.000,8.000,3.000,2.000,1.000,0.000,3.000,1.000,2.000,1.000,0.000,3.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9626.78, 13.3,749.9,1.000,1.83,7.52,811.9,ON,47.668,71.574,51.711,19.456,2.219,2.791232e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
20,17/3/2020,13:37:34,22.2,101.8,44.0,6.67395e-008,1.82863e-005,,0.000,0.000,3.000,4.000,4.000,2.000,8.000,7.000,8.000,8.000,11.713,11.287,18.000,12.000,24.000,21.000,29.000,24.000,29.355,27.645,23.000,25.000,33.000,31.000,25.000,31.000,35.000,27.000,19.000,25.161,22.839,26.000,20.000,27.000,26.000,28.845,25.155,25.000,20.000,21.000,20.000,20.000,21.029,27.029,26.942,21.000,26.000,25.000,22.000,17.866,26.134,24.000,27.000,20.000,26.000,21.000,24.400,19.600,16.000,18.000,31.000,25.000,29.147,23.853,23.000,19.000,22.000,23.000,30.000,18.000,23.000,17.000,22.000,10.000,16.000,18.000,12.000,11.000,8.000,6.000,9.000,7.000,7.000,4.000,5.000,4.000,5.000,5.000,0.000,1.000,2.000,1.000,3.000,1.000,2.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,300,4,50,1,3.000,0.300,0.00,10.22,9628.33, 13.3,749.9,1.000,1.83,7.52,812.0,ON,44.135,72.047,51.806,24.144,2.174,2.817292e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
21,17/3/2020,13:43:34,22.2,101.8,44.0,6.67395e-008,1.82863e-005,,0.000,1.000,1.000,7.000,11.000,5.000,12.000,11.000,15.000,11.000,13.000,17.000,15.000,17.000,16.000,9.000,20.000,20.000,22.000,20.000,17.000,19.000,20.975,25.025,19.000,29.000,19.000,30.000,13.000,17.000,24.000,28.433,24.567,20.000,24.000,21.000,21.000,26.000,27.000,25.000,16.000,22.000,17.000,21.058,22.942,18.000,14.000,15.878,29.122,17.000,29.000,13.000,22.000,24.000,28.000,30.000,21.000,27.000,30.000,29.000,22.000,30.000,29.000,28.000,32.000,35.000,28.474,24.526,21.000,26.000,16.000,17.000,10.000,9.000,16.000,17.000,15.000,15.000,10.000,12.000,5.000,10.000,6.000,3.000,5.000,2.000,0.000,5.000,5.000,1.000,2.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.22,9628.33, 13.3,749.9,1.000,1.83,7.52,812.0,ON,46.340,72.325,52.139,33.376,2.225,2.693451e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
22,17/3/2020,13:49:34,22.2,101.7,43.9,6.68051e-008,1.82863e-005,,2.000,0.000,3.000,7.000,7.000,11.000,7.000,11.000,19.000,15.000,11.000,13.125,17.875,16.000,11.000,15.000,22.526,28.474,20.000,19.000,22.000,24.000,21.000,23.900,27.991,23.109,30.000,26.000,16.000,26.778,20.222,16.000,28.000,19.000,31.000,25.000,29.000,20.000,20.673,28.909,22.506,16.956,13.957,20.000,23.000,20.000,21.000,11.402,20.598,22.000,23.000,21.000,20.000,23.812,24.188,23.000,22.000,20.186,23.814,18.000,26.000,20.000,26.000,26.000,20.000,22.000,23.000,18.000,17.000,20.000,26.000,20.000,15.000,13.000,9.000,19.000,13.000,17.000,8.000,5.000,6.000,8.000,4.000,4.000,2.000,7.000,0.000,2.000,4.000,1.000,2.000,0.000,3.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9626.78, 13.3,749.9,1.000,1.83,7.52,811.9,ON,42.838,69.008,49.298,25.029,2.212,2.686978e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
23,17/3/2020,13:55:34,22.3,101.7,43.9,6.68339e-008,1.82911e-005,,1.000,0.000,2.000,4.000,4.000,7.000,4.000,9.000,12.000,13.000,13.000,10.048,16.412,17.541,15.000,19.696,23.724,23.579,29.000,28.000,21.000,26.000,15.525,22.475,25.000,20.473,31.527,33.000,22.000,25.000,12.000,14.000,22.483,24.517,24.681,15.319,28.000,13.000,21.476,32.524,28.000,16.000,20.000,18.000,34.000,19.000,32.319,18.875,15.806,24.000,22.260,28.740,10.000,19.607,22.393,19.000,25.741,31.259,31.000,33.000,30.000,19.000,22.443,25.557,25.000,24.000,25.000,14.824,24.996,24.180,15.000,16.000,17.000,18.000,18.000,14.000,15.000,14.000,7.000,6.732,8.652,6.617,8.000,4.000,7.000,2.000,2.000,5.000,5.000,2.000,0.000,0.000,4.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9628.62, 13.3,749.9,1.000,1.83,7.52,812.0,ON,45.706,72.670,52.325,25.946,2.201,2.703035e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
24,17/3/2020,14:01:34,22.3,101.7,43.9,6.68339e-008,1.82911e-005,,0.000,0.000,3.000,4.000,9.000,9.000,8.000,3.903,9.097,4.000,7.000,13.000,16.000,9.000,13.000,12.000,11.000,16.000,15.000,10.429,19.571,14.000,17.000,24.759,24.242,22.000,32.935,22.065,26.014,26.986,28.000,24.000,27.000,24.000,27.681,26.319,25.000,24.000,20.000,28.000,25.843,23.157,27.360,29.640,25.000,26.000,21.000,21.194,26.806,16.000,24.000,23.000,21.000,24.607,22.393,26.000,21.000,25.000,30.000,35.000,23.000,18.000,16.000,21.000,19.000,24.000,29.000,24.000,13.639,21.361,19.000,7.000,12.000,16.000,8.000,7.000,6.084,12.916,9.000,6.000,10.000,3.000,5.000,7.000,3.000,0.000,3.000,2.000,3.000,3.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9628.62, 13.3,749.9,1.000,1.83,7.52,812.0,ON,48.301,70.105,52.883,34.599,2.095,2.476595e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
25,17/3/2020,14:07:34,22.3,101.7,43.9,6.68339e-008,1.82911e-005,,0.000,2.000,3.000,2.000,3.000,8.000,8.000,11.000,9.000,10.000,8.000,11.000,8.000,26.000,18.000,16.696,26.304,16.000,24.000,17.000,17.000,26.000,19.525,30.475,25.000,19.000,25.000,26.000,22.000,29.609,17.391,24.000,32.000,21.000,32.000,26.000,26.000,26.000,27.000,17.383,25.617,25.000,24.000,25.000,24.000,18.000,25.000,27.000,18.000,22.000,12.000,16.000,19.000,23.000,16.000,33.000,25.000,31.000,29.000,34.000,23.000,29.000,27.000,15.864,16.136,24.000,21.000,21.000,24.000,18.000,22.000,15.255,15.745,12.000,14.000,13.000,10.000,10.000,13.134,6.866,12.000,6.000,3.000,6.000,6.000,4.000,2.000,1.000,0.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9628.62, 13.3,749.9,1.000,1.83,7.52,812.0,ON,45.806,69.333,51.416,21.674,2.132,2.655924e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
26,17/3/2020,14:13:34,22.3,101.7,43.9,6.68339e-008,1.82911e-005,,0.000,0.000,1.000,2.000,6.000,6.000,8.000,19.000,16.000,10.000,20.000,26.048,22.412,22.541,22.000,18.000,26.000,17.000,30.000,32.000,31.000,24.000,37.000,22.000,33.000,22.000,28.000,24.000,26.000,24.000,24.000,19.856,23.144,18.000,28.000,38.000,23.383,32.755,32.862,28.000,25.000,15.000,18.000,25.384,27.616,23.000,26.000,25.000,23.000,28.000,23.000,36.702,28.298,27.000,22.000,28.000,23.741,34.259,19.471,25.880,29.649,24.000,38.000,31.000,39.000,25.000,27.000,31.000,30.000,31.000,24.000,20.255,13.745,13.844,12.368,14.788,8.000,7.000,10.000,7.000,7.000,7.000,8.000,4.000,1.000,2.000,2.000,2.000,0.000,0.000,3.000,0.000,1.000,4.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9628.62, 13.3,749.9,1.000,1.83,7.52,812.0,ON,43.777,67.928,49.754,29.961,2.156,3.122385e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
27,17/3/2020,14:19:34,22.3,101.7,43.9,6.68339e-008,1.82911e-005,,2.000,5.000,4.000,6.000,12.000,13.000,16.000,17.000,21.000,13.000,27.000,20.000,13.000,22.000,19.000,24.000,29.000,27.000,32.000,27.000,12.000,27.000,27.000,27.000,27.000,24.000,27.000,27.000,21.014,28.986,28.894,21.106,23.483,22.517,35.681,29.319,23.000,26.000,24.000,18.000,29.843,19.157,22.000,20.000,31.896,27.984,18.119,26.000,29.000,32.182,24.818,21.000,31.000,28.000,28.000,22.000,24.000,25.000,25.000,21.000,26.000,28.000,20.000,21.000,24.000,32.000,29.000,25.000,24.000,30.000,15.000,11.000,16.000,8.000,12.212,7.788,11.000,6.000,10.000,3.000,6.000,11.000,3.000,3.000,2.000,5.000,4.000,2.000,0.000,0.000,1.000,1.778,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9628.62, 13.3,749.9,1.000,1.83,7.52,812.0,ON,39.325,62.754,45.463,19.456,2.168,3.122329e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
