Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\LongTerm B.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3775 Low Flow,Detector S/N,3775141101, 
Detector Sample Flow (L/min),0.30,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),57.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,30/6/2020,13:58:49,25.3,99.8,37.0,6.89864e-008,1.84341e-005,,589.671,1130.637,1124.872,1682.481,2270.235,2014.476,2075.653,2617.305,2838.145,3153.702,3893.147,3337.913,3537.602,4219.005,4905.399,4886.447,4728.280,5336.483,6730.730,9682.382,12121.471,12768.123,12349.266,13359.005,11136.437,9860.444,8047.577,7000.396,5427.187,4180.715,3117.768,2962.384,2358.245,1961.601,2203.778,2072.330,1977.832,1779.705,1528.052,1828.061,1377.278,1518.798,1586.547,1675.648,1560.647,1488.804,1492.862,1766.799,1856.995,1664.382,1563.331,1662.450,1665.238,1516.179,1586.149,1429.283,1449.790,1364.026,1462.934,1434.185,1096.273,1407.146,1063.155,1858.094,1121.016,1005.817,1045.628,734.781,1072.095,798.707,894.996,859.487,591.078,663.755,560.448,529.259,432.527,524.105,614.918,312.707,430.311,323.097,435.855,362.348,301.971,238.627,94.186,54.637,96.588,28.027,42.706,43.394,14.702,0.000,30.228,15.374,0.000,0.000,16.210,32.815,16.714,0.000,0.000,17.710,0.000,0.000,0.000,18.966,0.000,0.000,0.000,300,8,50,1,3.000,0.335,0.00,10.73,9635.55, 13.8,749.9,1.000,3.97,7.44,765.5,ON,32.657,50.198,39.208,32.197,1.871,3.745589e+003,Long Term B,MASIN,,,,,Normal Scan,
2,30/6/2020,14:04:18,25.4,99.8,37.3,6.90158e-008,1.84389e-005,,83.992,0.000,77.349,74.554,215.572,207.778,467.314,1030.958,1181.660,1682.892,2407.903,1931.623,2875.244,2865.506,2788.279,3326.318,3880.766,3063.910,3393.482,3046.265,3188.673,3270.770,2563.088,3086.456,2594.681,2008.273,2573.677,1971.226,2133.047,1887.266,1719.141,1665.717,1947.306,1797.907,1600.206,1679.045,1610.534,1825.986,1723.597,1910.428,1420.124,1917.676,1503.915,2001.828,1665.390,1712.857,1753.255,2066.052,1989.807,1762.213,2114.305,1783.678,1724.304,1655.522,1531.903,1624.820,1439.346,1661.679,1409.336,1524.433,1461.186,1409.149,1255.092,1241.586,1304.679,1149.155,1126.122,1060.560,839.096,920.162,918.752,880.289,649.743,671.848,546.902,656.714,505.897,321.786,518.372,473.225,324.660,379.869,383.454,437.310,289.407,251.146,241.481,123.038,152.511,96.138,85.162,28.845,58.635,29.640,15.070,30.657,15.597,15.874,16.162,49.078,0.000,0.000,17.314,0.000,0.000,0.000,0.000,0.000,19.322,0.000,0.000,300,8,50,1,3.000,0.336,0.00,10.73,9637.59, 13.8,749.9,1.000,3.97,7.44,764.4,ON,46.325,69.681,52.353,25.029,2.070,2.071742e+003,Long Term B,MASIN,,,,,Normal Scan,
3,30/6/2020,14:09:48,25.6,99.8,37.5,6.90745e-008,1.84484e-005,,15.256,65.905,0.000,74.561,179.661,277.067,801.209,1321.037,1181.773,1893.410,2556.829,2544.221,3208.556,3527.651,3820.567,4062.137,3436.169,4292.932,4531.564,3895.604,3602.471,4027.887,3330.003,2786.374,2644.145,2460.083,2328.825,2216.254,1959.544,2245.642,1727.100,2029.581,2015.637,1617.555,1469.063,1573.492,1778.695,1564.700,1310.124,1710.613,1386.997,1290.733,1721.636,1639.713,1567.386,1585.371,1710.256,1740.986,1749.515,1985.818,1847.736,1492.869,1672.597,1737.782,1732.036,1720.779,1598.856,1762.587,1651.499,1433.308,1200.259,1403.303,1197.084,1351.169,1158.554,1129.038,1053.492,961.677,925.873,836.368,815.495,566.119,509.469,678.962,499.413,334.350,566.197,388.925,551.856,445.489,324.689,303.928,383.489,335.507,301.122,237.955,160.362,123.238,82.555,55.895,56.781,72.120,14.660,29.643,0.000,0.000,10.427,5.263,16.164,49.084,0.000,0.000,0.000,0.000,0.000,0.000,18.648,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.336,0.00,10.72,9640.93, 13.8,749.9,1.000,3.97,7.44,764.5,ON,40.588,65.044,48.915,26.896,2.052,2.160421e+003,Long Term B,MASIN,,,,,Normal Scan,
4,30/6/2020,14:15:18,25.9,99.8,37.7,6.91626e-008,1.84626e-005,,0.000,40.271,0.000,0.000,80.866,164.526,233.732,741.170,1213.060,1442.788,1218.747,1965.354,2007.830,2579.090,2759.833,2815.425,2243.932,2900.412,3014.717,2856.575,2813.803,2570.859,2896.500,2402.536,2168.908,2524.060,2458.402,2084.266,1837.959,1870.622,1912.091,1671.985,1411.123,1710.265,1490.977,1385.172,1652.778,1511.109,1332.861,1493.105,1535.436,1376.637,1431.551,1576.339,1450.797,1509.405,1543.113,1460.909,1414.933,1654.634,1629.067,1643.828,1689.286,1639.445,1719.116,1514.059,1315.917,1374.526,1537.030,1525.311,1132.025,1437.440,1284.982,1338.220,1210.002,1253.302,1066.510,893.114,988.786,946.647,996.958,698.417,680.930,495.175,371.524,599.400,532.846,417.536,380.221,408.431,537.080,291.313,281.272,348.465,196.410,289.540,148.966,68.114,110.090,55.904,42.592,28.852,43.988,29.648,30.148,15.333,31.201,15.878,0.000,0.000,16.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.611,0.000,300,8,50,1,3.000,0.336,0.00,10.72,9646.30, 13.8,749.9,1.000,3.97,7.44,764.8,ON,47.289,71.018,53.762,26.896,2.059,1.839884e+003,Long Term B,MASIN,,,,,Normal Scan,
5,30/6/2020,14:20:48,26.0,99.8,37.7,6.91919e-008,1.84674e-005,,42.134,0.000,0.000,37.402,72.094,243.207,535.852,775.749,1381.514,1710.095,2414.159,2423.617,2613.237,2522.369,3236.355,2963.573,3052.328,2946.942,3125.169,3015.991,2591.519,2602.400,2557.827,2715.406,2469.006,2189.575,1947.297,2162.059,1585.484,1867.050,1515.383,1564.772,1626.571,1755.216,1368.828,1300.260,1609.302,1426.151,1392.739,1042.274,1206.367,1235.643,1144.662,1512.623,1080.238,1169.498,1465.475,1354.010,1666.092,1282.591,1444.459,1214.918,1496.052,1400.321,1640.886,1585.029,1411.087,1311.100,1622.276,1318.829,1492.824,1364.597,1349.268,1285.970,1242.764,1221.295,1255.109,1047.944,988.302,973.386,829.986,626.044,659.473,449.371,500.996,435.223,558.700,322.369,370.728,488.499,495.055,457.356,344.270,429.197,275.825,291.769,282.670,77.707,142.355,56.074,42.722,28.940,42.895,30.978,0.000,15.379,0.000,0.000,16.216,16.413,0.000,0.000,0.000,17.716,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.335,0.00,10.72,9648.09, 13.8,749.9,1.000,3.97,7.44,766.1,ON,44.081,70.115,51.978,23.291,2.110,1.851398e+003,Long Term B,MASIN,,,,,Normal Scan,
6,30/6/2020,14:26:18,26.1,99.8,37.7,6.92213e-008,1.84721e-005,,42.011,0.000,0.000,0.000,0.000,138.568,230.792,486.266,684.355,1022.708,1421.418,1600.474,1628.451,1765.810,1876.610,2288.464,2457.678,2585.608,2086.817,2159.914,2725.705,2435.611,2703.227,2352.499,2435.521,2294.171,2286.471,2029.440,2173.412,2673.818,2084.236,2201.006,2169.325,2034.022,2144.260,1757.162,1633.189,1780.599,1741.217,1476.006,1467.115,1293.553,1750.279,1855.401,1439.278,1510.365,1584.591,1714.028,1823.198,1791.788,1964.391,1648.460,1982.017,1725.130,1802.644,1667.928,1852.835,1471.439,1498.732,1557.224,1571.080,1367.968,1340.862,1521.035,1305.412,1204.011,1129.904,1050.572,1070.248,1039.133,969.383,866.010,786.694,577.748,523.110,647.369,424.583,623.345,506.776,433.201,349.758,494.029,319.655,283.963,327.390,287.711,110.616,95.370,68.814,41.932,56.796,43.283,58.657,29.654,15.075,15.335,0.000,31.761,0.000,32.734,16.672,0.000,0.000,0.000,0.000,0.000,18.653,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.336,0.00,10.71,9650.12, 13.8,749.9,1.000,3.97,7.44,764.9,ON,52.024,74.596,57.443,28.903,2.025,1.885368e+003,Long Term B,MASIN,,,,,Normal Scan,
7,30/6/2020,14:31:48,26.2,99.8,37.7,6.92507e-008,1.84769e-005,,0.000,40.158,38.575,37.181,37.490,136.569,233.057,546.275,682.351,1198.946,1649.344,1741.462,2004.789,2483.129,2653.046,2994.345,2557.621,2682.085,3164.617,3062.476,2848.849,2805.391,2709.001,2756.057,2447.314,2670.092,2012.167,2428.237,2082.314,2064.737,1919.381,1873.261,1766.776,1683.807,1976.670,1832.096,1797.207,1677.418,1466.623,1627.540,1303.872,1508.867,1638.009,1612.940,1597.211,1366.566,1696.902,1339.636,1758.337,1595.645,1806.259,1688.011,1857.618,1603.116,1651.417,1474.216,1683.133,1654.481,1624.216,1490.700,1305.275,1284.866,1345.192,1304.543,1322.811,1250.923,1164.344,1085.496,1141.394,781.714,808.839,795.933,802.396,593.284,509.929,631.534,696.509,569.732,391.389,431.962,423.467,429.424,446.209,321.749,287.259,210.951,347.929,230.937,159.914,60.577,28.318,28.771,14.621,44.346,15.031,15.289,15.557,15.834,0.000,0.000,16.623,0.000,17.270,17.613,17.849,18.216,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.337,0.00,10.71,9651.67, 13.8,749.9,1.000,3.97,7.44,763.7,ON,48.603,72.868,55.027,26.896,2.063,1.933460e+003,Long Term B,MASIN,,,,,Normal Scan,
8,30/6/2020,14:37:18,26.3,99.8,37.7,6.92800e-008,1.84816e-005,,0.000,0.000,0.000,74.590,35.945,191.654,382.983,837.380,933.922,1707.171,1805.749,2056.226,2762.664,2441.803,3247.200,3495.907,3526.195,3677.209,3374.166,3101.744,3555.577,3765.279,2955.979,3150.070,2974.686,2692.656,3177.431,2571.444,2448.304,2608.974,2102.100,1966.527,1941.445,2126.718,1641.772,1941.134,1980.922,1873.406,1969.055,1938.218,1741.346,2210.165,1980.144,1976.736,1896.864,1739.032,1792.379,2105.843,2102.429,1898.320,2363.725,1960.308,2249.866,2077.261,1592.588,1937.644,1746.812,1834.066,1466.365,1687.761,1423.350,1303.351,1210.088,1103.041,1261.531,1209.295,1029.239,1135.593,786.920,757.143,780.475,799.703,692.827,584.365,477.804,587.838,434.655,309.583,521.850,472.318,272.927,354.715,326.928,392.875,301.226,304.170,174.486,109.006,41.293,111.831,85.202,14.429,58.663,14.827,45.231,0.000,15.604,47.645,0.000,16.367,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.336,0.00,10.71,9653.21, 13.8,749.9,1.000,3.97,7.44,765.1,ON,46.040,67.606,52.026,29.961,2.004,2.202535e+003,Long Term B,MASIN,,,,,Normal Scan,
9,30/6/2020,14:42:48,26.3,99.8,37.8,6.92800e-008,1.84816e-005,,0.000,0.000,38.692,0.000,35.945,346.454,267.159,772.927,933.922,1322.831,1701.713,2375.454,2599.804,3289.885,3722.706,3275.411,2885.154,2906.519,3171.168,3276.256,3105.076,2966.693,3491.679,3018.851,2835.458,3164.097,3161.957,2953.951,2579.829,2732.215,2752.591,2568.846,2424.806,2314.465,1958.222,2037.631,2264.782,2107.148,2178.269,1878.795,1782.120,1888.950,1702.551,1852.357,1745.384,1966.289,1600.905,1806.021,2035.106,1902.564,1643.524,1710.293,1953.593,1866.782,1725.108,1665.554,1273.395,1382.892,1732.429,1376.477,1313.270,1296.869,1339.556,1227.041,1108.498,928.790,1073.271,999.912,982.439,714.857,807.690,884.868,822.009,407.481,561.076,433.336,482.051,437.705,429.386,309.476,499.717,215.365,332.476,322.723,222.647,171.920,161.065,81.754,110.114,97.852,42.601,57.718,14.666,14.827,0.000,15.336,0.000,15.882,0.000,16.367,0.000,0.000,0.000,17.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.336,0.00,10.71,9653.46, 13.8,749.9,1.000,3.97,7.44,765.1,ON,44.545,66.004,51.080,23.291,1.981,2.171874e+003,Long Term B,MASIN,,,,,Normal Scan,
10,30/6/2020,14:48:18,26.4,99.8,37.8,6.93094e-008,1.84864e-005,,0.000,40.162,0.000,0.000,35.840,310.897,399.566,642.743,1085.685,1460.730,1715.259,2216.126,2877.866,3057.748,3274.459,3335.520,3261.314,3230.996,3358.671,3614.722,3191.396,2943.315,3088.023,2934.263,2865.103,2453.791,2460.816,2766.009,2310.395,2548.462,1977.658,1905.475,1938.950,1890.018,1802.334,1942.572,1915.746,1531.590,1669.425,2050.757,1596.126,1536.191,1210.664,1456.737,1281.660,1328.078,1389.823,1490.719,1927.776,1787.483,1787.099,1866.347,1944.981,1837.328,1621.377,1670.214,1553.720,1736.812,1537.238,1447.908,1263.570,1363.862,1230.892,1255.123,1028.843,1359.756,1115.622,949.546,839.364,898.053,971.129,568.827,611.855,667.181,569.287,452.614,444.985,379.325,509.791,382.959,360.907,403.219,421.747,283.165,300.354,250.531,133.831,67.930,109.792,111.504,42.477,57.548,0.000,14.784,0.000,30.585,31.117,0.000,32.245,0.000,0.000,0.000,17.272,17.615,0.000,0.000,0.000,0.000,19.275,0.000,0.000,300,8,50,1,3.000,0.337,0.00,10.71,9655.24, 13.8,749.9,1.000,3.97,7.44,763.9,ON,44.116,67.818,51.461,27.881,2.036,2.057518e+003,Long Term B,MASIN,,,,,Normal Scan,
11,30/6/2020,14:53:48,26.2,99.8,38.0,6.92507e-008,1.84769e-005,,42.013,0.000,0.000,37.292,71.886,277.149,500.897,1095.832,1244.350,1833.866,2612.051,3173.103,3005.763,3324.034,4155.143,3666.243,3709.784,3994.114,3376.776,4114.983,3801.027,3373.772,3463.460,3310.340,3115.918,3015.693,2691.152,3062.806,2458.840,2315.721,2374.047,2173.333,1963.999,1930.435,1954.076,1506.454,1927.426,1548.093,1437.206,1519.551,1605.087,1529.531,1409.834,1274.349,1127.751,1358.726,1431.352,1522.441,1194.052,1350.617,1525.784,1384.272,1385.154,1419.736,1829.009,1646.800,1699.175,1593.180,1640.627,1591.479,1301.776,1312.698,1234.343,1493.733,1114.157,1441.484,1076.768,1082.460,932.242,1043.944,904.351,791.692,722.938,630.065,618.509,537.530,566.377,522.792,368.016,433.253,545.470,270.270,306.886,271.074,353.611,211.585,187.898,136.250,55.055,41.934,42.599,28.857,43.995,59.306,15.076,15.335,0.000,15.881,0.000,0.000,0.000,16.991,0.000,0.000,0.000,0.000,0.000,18.918,0.000,0.000,0.000,300,8,50,1,3.000,0.336,0.00,10.71,9651.43, 13.8,749.9,1.000,3.97,7.44,765.0,ON,39.996,65.428,49.018,23.291,2.056,2.179120e+003,Long Term B,MASIN,,,,,Normal Scan,
12,30/6/2020,14:59:18,26.2,99.8,38.0,6.92507e-008,1.84769e-005,,41.888,0.000,0.000,0.000,0.000,138.162,299.644,385.606,806.427,1254.590,1856.100,1987.762,2029.626,3015.360,2906.294,2576.259,2629.249,3137.315,2703.986,3214.208,2501.137,2934.683,2408.033,2883.764,2475.521,2856.336,2555.834,2351.202,2331.511,1788.360,1793.786,1995.819,1577.978,1568.280,1576.863,1639.226,1504.225,1577.259,1683.302,1637.378,1282.603,1411.968,1218.361,1159.144,1494.949,1138.920,1331.852,1646.805,1395.824,1376.678,1377.911,1582.345,1256.886,1531.488,1434.952,1476.845,1431.099,1707.512,1660.090,1607.995,1749.350,1467.005,1470.380,1489.740,1351.345,1469.521,1153.686,1032.752,1118.437,1001.557,715.075,761.437,750.184,593.297,450.638,440.647,216.266,436.386,330.230,410.126,395.675,317.083,317.381,350.388,297.378,224.136,200.728,163.014,82.335,83.620,70.787,14.386,41.104,32.353,0.000,15.290,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.337,0.00,10.71,9651.67, 13.8,749.9,1.000,3.97,7.44,763.7,ON,46.005,70.536,53.502,27.881,2.055,1.877514e+003,Long Term B,MASIN,,,,,Normal Scan,
13,30/6/2020,15:04:48,26.3,99.8,38.1,6.92800e-008,1.84816e-005,,0.000,0.000,0.000,0.000,35.945,207.873,261.170,328.093,871.091,962.056,1509.230,1741.059,1411.449,1447.459,1468.799,1747.249,1870.440,2360.140,2548.621,1827.300,2181.905,2898.060,2270.001,2396.588,2074.164,2109.406,2178.669,2082.106,2184.325,1843.602,2147.824,2115.055,1643.455,2081.828,1760.983,1703.525,1796.618,1392.821,1375.261,1231.717,1562.414,1432.539,1510.087,1398.145,1397.372,1384.781,1304.303,1559.686,1252.067,1707.924,1593.583,1723.154,1622.377,1712.900,1904.047,1476.799,1792.175,1661.628,1644.070,1556.931,1822.735,1853.820,1675.050,1626.271,1491.631,1511.071,1265.367,1284.501,1258.431,941.870,838.453,962.712,775.047,601.411,559.061,418.099,518.199,504.119,509.578,309.475,319.413,474.672,332.010,490.547,144.065,343.837,107.376,204.386,55.057,41.936,42.601,28.858,14.666,29.654,15.077,15.336,0.000,15.882,16.171,0.000,0.000,0.000,17.322,0.000,0.000,18.271,0.000,0.000,19.331,0.000,0.000,300,8,50,1,3.000,0.336,0.00,10.71,9653.21, 13.8,749.9,1.000,3.97,7.44,765.1,ON,54.131,77.205,59.275,29.961,2.048,1.792754e+003,Long Term B,MASIN,,,,,Normal Scan,
14,30/6/2020,15:10:18,26.4,99.8,38.2,6.93094e-008,1.84864e-005,,41.892,0.000,0.000,0.000,107.520,276.353,199.783,449.919,837.524,1049.176,1170.973,1499.018,1488.522,1889.326,2323.026,3118.444,3178.224,3160.740,2496.184,2284.348,2716.658,2845.341,3057.615,2357.245,2580.198,3149.895,2628.220,2344.847,2344.618,2122.870,2198.578,1904.033,1839.760,1789.020,1501.917,1535.968,1609.564,1353.440,1427.198,1349.868,1044.343,1265.136,1335.430,1047.814,1201.205,1090.361,1357.659,1379.444,1401.197,1227.692,1356.451,1692.436,1424.609,1661.863,1784.452,1469.736,1641.590,1468.797,1800.386,1459.393,1682.855,1525.306,1640.666,1642.037,1575.048,1325.821,1321.033,1207.635,1247.998,1137.110,857.016,857.532,799.194,596.621,694.604,455.156,266.983,472.790,460.579,374.912,491.039,373.285,382.506,321.782,195.880,237.348,214.127,81.515,150.968,41.814,46.299,39.277,29.246,0.000,30.066,15.291,0.000,0.000,0.000,16.319,16.624,0.000,0.000,0.000,0.000,0.000,0.000,18.864,0.000,0.000,0.000,300,8,50,1,3.000,0.337,0.00,10.71,9655.24, 13.8,749.9,1.000,3.97,7.44,763.9,ON,47.145,73.313,55.552,25.029,2.065,1.862203e+003,Long Term B,MASIN,,,,,Normal Scan,
15,30/6/2020,15:15:48,26.5,99.8,38.3,6.93388e-008,1.84911e-005,,0.000,40.164,0.000,37.187,35.842,219.339,387.959,642.774,930.638,1199.123,1562.775,2352.100,1705.165,2598.020,2398.845,2651.990,2661.954,2850.341,2414.116,2483.323,2856.869,2759.190,2515.091,2801.644,3073.326,2453.713,2289.906,2446.178,2331.885,2175.202,1966.848,1825.532,1892.145,1602.904,1557.378,1847.418,1335.438,1364.854,1385.270,1157.084,1098.647,1422.827,1296.154,1283.736,971.230,1253.016,1219.816,1375.027,1457.245,1521.819,1603.739,1415.650,1815.823,1597.471,1500.516,1473.999,1775.362,1570.717,1434.376,1624.199,1368.663,1504.848,1476.043,1444.693,1715.551,1445.212,1172.103,1082.736,1110.498,828.079,901.640,766.435,667.429,611.438,620.452,568.036,431.560,503.197,422.995,357.969,460.913,277.913,280.520,398.801,209.184,237.358,240.906,54.346,68.624,69.694,70.798,14.389,29.247,0.000,75.172,0.000,15.559,0.000,16.123,0.000,16.625,0.000,7.139,10.334,0.000,0.000,0.000,18.865,0.000,0.000,0.000,300,8,50,1,3.000,0.337,0.00,10.71,9656.78, 13.8,749.9,1.000,3.97,7.44,764.0,ON,46.346,72.041,54.365,33.376,2.072,1.860828e+003,Long Term B,MASIN,,,,,Normal Scan,
16,30/6/2020,15:21:18,26.6,99.8,38.3,6.93682e-008,1.84959e-005,,0.000,0.000,0.000,37.189,0.000,103.643,199.803,674.946,744.546,887.397,1641.679,1447.029,1921.762,2624.448,2356.244,2735.150,2810.530,3634.995,2912.580,2930.287,2996.800,2587.465,3504.010,3176.719,2788.636,2567.211,2337.921,2613.179,2674.930,2373.883,2313.578,2347.821,1995.578,1979.057,1892.674,1933.350,1527.086,1688.351,1431.607,1610.033,1457.820,1615.329,1864.793,1400.510,1501.227,1500.361,1367.049,1266.385,1668.166,1603.879,1627.748,1551.781,1555.457,1649.843,1452.877,1800.534,1772.259,1640.181,1727.155,1587.425,1874.815,1636.759,1460.496,1801.785,1502.024,1433.468,1519.310,1188.557,1121.152,955.766,822.723,740.246,799.115,671.713,650.936,697.268,474.282,425.525,517.976,401.952,523.233,353.717,382.548,411.923,404.880,250.559,214.148,203.813,164.706,167.273,155.771,115.109,58.498,59.141,30.069,15.293,62.240,0.000,48.373,0.000,16.626,0.000,17.274,0.000,0.000,18.219,0.000,0.000,38.553,19.561,0.000,300,8,50,1,3.000,0.337,0.00,10.71,9658.57, 13.8,749.9,1.000,3.97,7.44,764.0,ON,47.985,74.432,55.869,25.946,2.073,2.031880e+003,Long Term B,MASIN,,,,,Normal Scan,
17,30/6/2020,15:26:48,26.7,99.8,38.3,6.93975e-008,1.85006e-005,,0.000,0.000,38.585,0.000,35.845,138.197,133.209,417.848,682.528,1349.133,1222.996,1533.102,2355.011,2309.569,2676.985,2835.567,3000.278,2524.997,2936.830,2832.527,2988.669,2729.033,2924.355,2404.363,2770.681,2361.833,2812.035,2347.818,2331.427,2047.974,1895.721,2018.063,1596.435,1862.856,1470.513,1563.006,1697.489,1338.961,1245.454,1226.101,1302.258,1417.625,1051.479,1309.786,1547.592,1289.562,1385.655,1337.152,1553.357,1546.561,1471.825,1529.992,1685.064,1940.911,1525.965,1636.935,1742.062,1861.069,1425.687,1665.601,1500.998,1833.045,1775.836,1695.120,1588.595,1358.508,1087.548,1094.825,1178.491,1288.891,1055.836,949.019,916.537,834.943,640.578,679.024,512.883,646.335,367.215,555.551,423.585,353.741,395.323,347.580,326.520,211.008,147.236,108.704,68.631,13.940,72.609,26.946,58.501,29.572,45.106,54.186,22.670,15.838,0.000,0.000,0.000,0.000,0.000,17.617,0.000,0.000,0.000,0.000,0.000,19.561,0.000,300,8,50,1,3.000,0.337,0.00,10.71,9660.35, 13.8,749.9,1.000,3.97,7.44,764.1,ON,48.722,74.769,56.338,25.029,2.084,1.925012e+003,Long Term B,MASIN,,,,,Normal Scan,
